,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_module__last_activation,param_optimizer,param_optimizer__weight_decay,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,293.9121619462967,1.9147213697433472,82.90839648246765,0.869556188583374,32,softmax,<class 'torch.optim.adam.Adam'>,0.001,"{'batch_size': 32, 'module__last_activation': 'softmax', 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.001}",0.5261200133055699,0.6399388830175736,0.5830294481615718,0.05690943485600186,32
1,295.97260665893555,0.2131643295288086,71.60937333106995,12.4856116771698,32,softmax,<class 'torch.optim.adam.Adam'>,0.005,"{'batch_size': 32, 'module__last_activation': 'softmax', 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.005}",0.5000053097887498,0.6121976708608132,0.5561014903247815,0.056096180536031715,40
2,295.81498515605927,4.1578792333602905,71.77975618839264,12.099266409873962,32,softmax,<class 'torch.optim.adam.Adam'>,0.01,"{'batch_size': 32, 'module__last_activation': 'softmax', 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.01}",0.5,0.4998641744277656,0.4999320872138828,6.791278611720242e-05,54
3,276.8125435113907,0.20533883571624756,75.1106868982315,9.312662959098816,32,softmax,<class 'torch.optim.sgd.SGD'>,0.001,"{'batch_size': 32, 'module__last_activation': 'softmax', 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__weight_decay': 0.001}",0.5793208745143275,0.7204636038742115,0.6498922391942694,0.07057136467994202,4
4,280.1038461923599,2.508248448371887,72.64232194423676,10.339052081108093,32,softmax,<class 'torch.optim.sgd.SGD'>,0.005,"{'batch_size': 32, 'module__last_activation': 'softmax', 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__weight_decay': 0.005}",0.5803644096106778,0.7249795349645789,0.6526719722876284,0.07230756267695054,2
5,278.415718793869,0.8722507953643799,77.2766342163086,0.8776192665100098,32,softmax,<class 'torch.optim.sgd.SGD'>,0.01,"{'batch_size': 32, 'module__last_activation': 'softmax', 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__weight_decay': 0.01}",0.5853023712158789,0.7119527228376216,0.6486275470267502,0.06332517581087133,5
6,296.84946060180664,1.2015297412872314,72.06408941745758,7.51151978969574,32,sigmoid,<class 'torch.optim.adam.Adam'>,0.001,"{'batch_size': 32, 'module__last_activation': 'sigmoid', 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.001}",0.5046195171298913,0.6306244993250564,0.5676220082274739,0.06300249109758255,37
7,298.66791093349457,0.1095653772354126,81.61906802654266,1.4880157709121704,32,sigmoid,<class 'torch.optim.adam.Adam'>,0.005,"{'batch_size': 32, 'module__last_activation': 'sigmoid', 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.005}",0.5000053097887498,0.5719938079644289,0.5359995588765893,0.03599424908783955,45
8,296.34433591365814,1.508632779121399,70.15704536437988,5.633775234222412,32,sigmoid,<class 'torch.optim.adam.Adam'>,0.01,"{'batch_size': 32, 'module__last_activation': 'sigmoid', 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.01}",0.5000053097887498,0.5708433245479579,0.5354243171683539,0.03541900737960407,47
9,278.91694808006287,2.60241436958313,73.6729496717453,5.210979104042053,32,sigmoid,<class 'torch.optim.sgd.SGD'>,0.001,"{'batch_size': 32, 'module__last_activation': 'sigmoid', 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__weight_decay': 0.001}",0.5941343342826215,0.7156161699916501,0.6548752521371358,0.0607409178545143,1
10,279.6260449886322,2.5868918895721436,70.85411608219147,6.328507304191589,32,sigmoid,<class 'torch.optim.sgd.SGD'>,0.005,"{'batch_size': 32, 'module__last_activation': 'sigmoid', 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__weight_decay': 0.005}",0.5777120245606396,0.7076989410705387,0.6427054828155891,0.06499345825494951,9
11,280.2026422023773,2.417443037033081,78.80986404418945,2.5390238761901855,32,sigmoid,<class 'torch.optim.sgd.SGD'>,0.01,"{'batch_size': 32, 'module__last_activation': 'sigmoid', 'optimizer': <class 'torch.optim.sgd.SGD'>, 'optimizer__weight_decay': 0.01}",0.5750889799224881,0.7220616787604487,0.6485753293414684,0.0734863494189803,6
12,297.80283319950104,1.719995141029358,73.86366283893585,0.1921912431716919,32,,<class 'torch.optim.adam.Adam'>,0.001,"{'batch_size': 32, 'module__last_activation': None, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.001}",0.4979279385817925,0.6589164848374399,0.5784222117096163,0.0804942731278237,35
13,296.3748700618744,3.615130662918091,73.68144237995148,6.704227089881897,32,,<class 'torch.optim.adam.Adam'>,0.005,"{'batch_size': 32, 'module__last_activation': None, 'optimizer': <class 'torch.optim.adam.Adam'>, 'optimizer__weight_decay': 0.005}",0.5000053097887498,0.5689282522020813,0.5344667809954156,0.03446147120666576,48
