,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_module__last_activation,param_optimizer__momentum,param_optimizer__weight_decay,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,299.583050370216,0.610199093818665,83.2383667230606,3.07045161724091,sigmoid,0.3,0.01,"{'module__last_activation': 'sigmoid', 'optimizer__momentum': 0.3, 'optimizer__weight_decay': 0.01}",0.589977222008383,0.734929177709974,0.662453199859178,0.072475977850796,1
1,292.935333132744,0.698634743690491,74.9712871313095,1.96537673473358,,0,0.001,"{'module__last_activation': None, 'optimizer__momentum': 0, 'optimizer__weight_decay': 0.001}",0.587221348164252,0.734370295289501,0.660795821726877,0.073574473562625,2
2,290.594813704491,0.329744696617126,69.6786758899689,2.60007190704346,,0.9,0.005,"{'module__last_activation': None, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.005}",0.554930106470613,0.764384942779026,0.659657524624819,0.104727418154207,3
3,294.922006607056,2.32272696495056,82.8119405508041,4.85629308223724,sigmoid,0.3,0.005,"{'module__last_activation': 'sigmoid', 'optimizer__momentum': 0.3, 'optimizer__weight_decay': 0.005}",0.592345143887033,0.72602483309363,0.659184988490332,0.066839844603299,4
4,290.788790106773,0.634172797203064,74.0463417768478,1.68074858188629,,0,0.005,"{'module__last_activation': None, 'optimizer__momentum': 0, 'optimizer__weight_decay': 0.005}",0.590728626174926,0.724226702767467,0.657477664471196,0.066749038296271,5
5,290.572650671005,0.268255710601807,84.6772843599319,1.56537330150604,sigmoid,0.3,0.001,"{'module__last_activation': 'sigmoid', 'optimizer__momentum': 0.3, 'optimizer__weight_decay': 0.001}",0.591551745530478,0.723051207942639,0.657301476736559,0.06574973120608,6
6,301.086895346642,4.33398354053497,75.2702091932297,0.405410170555115,,0.3,0.01,"{'module__last_activation': None, 'optimizer__momentum': 0.3, 'optimizer__weight_decay': 0.01}",0.576770808037925,0.736213234077613,0.656492021057769,0.079721213019844,7
7,278.874318242073,0.689932227134705,84.461771607399,0.368907332420349,softmax,0,0.01,"{'module__last_activation': 'softmax', 'optimizer__momentum': 0, 'optimizer__weight_decay': 0.01}",0.591563256872989,0.720037256048865,0.655800256460927,0.064236999587938,8
8,295.527642726898,0.958271026611328,75.539287686348,0.587777972221375,,0.3,0.005,"{'module__last_activation': None, 'optimizer__momentum': 0.3, 'optimizer__weight_decay': 0.005}",0.562512858527323,0.746070747631078,0.654291803079201,0.091778944551878,9
9,275.912024259567,3.45827078819275,63.1792242527008,5.47495079040527,softmax,0,0.001,"{'module__last_activation': 'softmax', 'optimizer__momentum': 0, 'optimizer__weight_decay': 0.001}",0.58596954049668,0.716357760231198,0.651163650363939,0.065194109867259,10
10,284.471942543983,0.800301909446716,73.3068562746048,6.22109520435333,sigmoid,0,0.005,"{'module__last_activation': 'sigmoid', 'optimizer__momentum': 0, 'optimizer__weight_decay': 0.005}",0.587001417594856,0.714871496606293,0.650936457100574,0.063935039505719,11
11,276.601714372635,0.166378259658813,79.3704906702042,6.63294684886932,softmax,0,0.005,"{'module__last_activation': 'softmax', 'optimizer__momentum': 0, 'optimizer__weight_decay': 0.005}",0.590545133507407,0.7093199273448,0.649932530426103,0.059387396918697,12
12,289.333850622177,2.08582425117493,76.8288551568985,0.209067225456238,sigmoid,0,0.01,"{'module__last_activation': 'sigmoid', 'optimizer__momentum': 0, 'optimizer__weight_decay': 0.01}",0.574202811291057,0.724678918831826,0.649440865061442,0.075238053770385,13
13,290.957124233246,3.35439968109131,75.3407334089279,7.76233732700348,softmax,0.3,0.001,"{'module__last_activation': 'softmax', 'optimizer__momentum': 0.3, 'optimizer__weight_decay': 0.001}",0.572083936869976,0.725925153485717,0.649004545177847,0.07692060830787,14
14,292.508912682533,0.921866059303284,85.0401998758316,0.359443783760071,softmax,0.3,0.005,"{'module__last_activation': 'softmax', 'optimizer__momentum': 0.3, 'optimizer__weight_decay': 0.005}",0.576149043140407,0.719705772960545,0.647927408050476,0.071778364910069,15
15,296.336000919342,3.00829410552979,73.8149719238281,0.884308338165283,sigmoid,0.9,0.005,"{'module__last_activation': 'sigmoid', 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.005}",0.543911083805829,0.746136107498342,0.645023595652085,0.101112511846256,16
16,290.384045362473,1.36837863922119,73.4253395795822,3.88048279285431,softmax,0.9,0.005,"{'module__last_activation': 'softmax', 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.005}",0.538535169268352,0.751257007620097,0.644896088444224,0.106360919175872,17
17,285.15959584713,0.242947936058044,72.9917378425598,5.11924815177918,sigmoid,0,0.001,"{'module__last_activation': 'sigmoid', 'optimizer__momentum': 0, 'optimizer__weight_decay': 0.001}",0.591463898039615,0.696959694218996,0.644211796129305,0.052747898089691,18
18,290.56066763401,1.87071979045868,74.8166061639786,0.503680348396301,,0.9,0.001,"{'module__last_activation': None, 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.001}",0.51381592937658,0.768815941787626,0.641315935582103,0.127500006205523,19
19,300.00264441967,0.653131365776062,77.6115303039551,1.88848686218262,sigmoid,0.9,0.001,"{'module__last_activation': 'sigmoid', 'optimizer__momentum': 0.9, 'optimizer__weight_decay': 0.001}",0.504757188046041,0.772292518179863,0.638524853112952,0.133767665066911,20
20,292.16023850441,3.11322450637817,75.0846096277237,9.23334562778473,softmax,0.3,0.01,"{'module__last_activation': 'softmax', 'optimizer__momentum': 0.3, 'optimizer__weight_decay': 0.01}",0.554486190924011,0.721352069456985,0.637919130190498,0.083432939266487,21
